Timestamp,Event,SequenceNum,Detail
2026-06-07T20:46:20.9614519Z,PacketSent,0,"size=1069"
2026-06-07T20:46:20.9631080Z,AckReceived,0,""
2026-06-07T20:46:20.9631607Z,PacketSent,1,"size=1069"
2026-06-07T20:46:20.9659634Z,AckReceived,1,""
2026-06-07T20:46:20.9660221Z,PacketSent,2,"size=1069"
2026-06-07T20:46:20.9663377Z,AckReceived,2,""
2026-06-07T20:46:20.9663837Z,PacketSent,3,"size=1069"
2026-06-07T20:46:20.9665693Z,AckReceived,3,""
2026-06-07T20:46:20.9666306Z,PacketSent,4,"size=1069"
2026-06-07T20:46:20.9667759Z,AckReceived,4,""
2026-06-07T20:46:20.9668341Z,PacketSent,5,"size=1069"
2026-06-07T20:46:20.9669840Z,AckReceived,5,""
2026-06-07T20:46:20.9670155Z,PacketSent,6,"size=1069"
2026-06-07T20:46:20.9671618Z,AckReceived,6,""
2026-06-07T20:46:20.9672046Z,PacketSent,7,"size=1069"
2026-06-07T20:46:20.9673678Z,AckReceived,7,""
2026-06-07T20:46:20.9674153Z,PacketSent,8,"size=1069"
2026-06-07T20:46:20.9675743Z,AckReceived,8,""
2026-06-07T20:46:20.9676361Z,PacketSent,9,"size=1069"
2026-06-07T20:46:20.9677836Z,AckReceived,9,""
2026-06-07T20:46:20.9679669Z,PacketSent,10,"size=1069"
2026-06-07T20:46:20.9681448Z,AckReceived,10,""
2026-06-07T20:46:20.9681845Z,PacketSent,11,"size=1069"
2026-06-07T20:46:20.9683087Z,AckReceived,11,""
2026-06-07T20:46:20.9683471Z,PacketSent,12,"size=1069"
2026-06-07T20:46:20.9684630Z,AckReceived,12,""
2026-06-07T20:46:20.9684914Z,PacketSent,13,"size=1069"
2026-06-07T20:46:20.9686128Z,AckReceived,13,""
2026-06-07T20:46:20.9686537Z,PacketSent,14,"size=1069"
2026-06-07T20:46:20.9687706Z,AckReceived,14,""
2026-06-07T20:46:20.9688036Z,PacketSent,15,"size=1069"
2026-06-07T20:46:20.9689115Z,AckReceived,15,""
2026-06-07T20:46:20.9689483Z,PacketSent,16,"size=1069"
2026-06-07T20:46:20.9690594Z,AckReceived,16,""
2026-06-07T20:46:20.9690990Z,PacketSent,17,"size=1069"
2026-06-07T20:46:20.9692164Z,AckReceived,17,""
2026-06-07T20:46:20.9692473Z,PacketSent,18,"size=1069"
2026-06-07T20:46:20.9693497Z,AckReceived,18,""
2026-06-07T20:46:20.9693852Z,PacketSent,19,"size=1069"
2026-06-07T20:46:20.9695023Z,AckReceived,19,""
2026-06-07T20:46:20.9695331Z,PacketSent,20,"size=1069"
2026-06-07T20:46:20.9696324Z,AckReceived,20,""
2026-06-07T20:46:20.9696687Z,PacketSent,21,"size=1069"
2026-06-07T20:46:20.9697764Z,AckReceived,21,""
2026-06-07T20:46:20.9698321Z,PacketSent,22,"size=1069"
2026-06-07T20:46:20.9699341Z,AckReceived,22,""
2026-06-07T20:46:20.9699715Z,PacketSent,23,"size=1069"
2026-06-07T20:46:20.9700682Z,AckReceived,23,""
2026-06-07T20:46:20.9700928Z,PacketSent,24,"size=1069"
2026-06-07T20:46:20.9701937Z,AckReceived,24,""
2026-06-07T20:46:20.9702284Z,PacketSent,25,"size=1069"
2026-06-07T20:46:20.9703272Z,AckReceived,25,""
2026-06-07T20:46:20.9703530Z,PacketSent,26,"size=1069"
2026-06-07T20:46:20.9704533Z,AckReceived,26,""
2026-06-07T20:46:20.9704866Z,PacketSent,27,"size=1069"
2026-06-07T20:46:20.9705871Z,AckReceived,27,""
2026-06-07T20:46:20.9706157Z,PacketSent,28,"size=1069"
2026-06-07T20:46:20.9707164Z,AckReceived,28,""
2026-06-07T20:46:20.9707453Z,PacketSent,29,"size=1069"
2026-06-07T20:46:20.9708411Z,AckReceived,29,""
2026-06-07T20:46:20.9708714Z,PacketSent,30,"size=1069"
2026-06-07T20:46:20.9709646Z,AckReceived,30,""
2026-06-07T20:46:20.9709929Z,PacketSent,31,"size=1069"
2026-06-07T20:46:20.9710964Z,AckReceived,31,""
2026-06-07T20:46:20.9711319Z,PacketSent,32,"size=1069"
2026-06-07T20:46:20.9712271Z,AckReceived,32,""
2026-06-07T20:46:20.9712561Z,PacketSent,33,"size=1069"
2026-06-07T20:46:20.9713578Z,AckReceived,33,""
2026-06-07T20:46:20.9713890Z,PacketSent,34,"size=1069"
2026-06-07T20:46:20.9714827Z,AckReceived,34,""
2026-06-07T20:46:20.9715104Z,PacketSent,35,"size=1069"
2026-06-07T20:46:20.9716226Z,AckReceived,35,""
2026-06-07T20:46:20.9716561Z,PacketSent,36,"size=1069"
2026-06-07T20:46:20.9717626Z,AckReceived,36,""
2026-06-07T20:46:20.9717896Z,PacketSent,37,"size=1069"
2026-06-07T20:46:20.9718923Z,AckReceived,37,""
2026-06-07T20:46:20.9719254Z,PacketSent,38,"size=1069"
2026-06-07T20:46:20.9720233Z,AckReceived,38,""
2026-06-07T20:46:20.9720502Z,PacketSent,39,"size=1069"
2026-06-07T20:46:20.9721477Z,AckReceived,39,""
2026-06-07T20:46:20.9721762Z,PacketSent,40,"size=1069"
2026-06-07T20:46:20.9722858Z,AckReceived,40,""
2026-06-07T20:46:20.9723135Z,PacketSent,41,"size=1069"
2026-06-07T20:46:20.9724154Z,AckReceived,41,""
2026-06-07T20:46:20.9724420Z,PacketSent,42,"size=1069"
2026-06-07T20:46:20.9725868Z,AckReceived,42,""
2026-06-07T20:46:20.9726223Z,PacketSent,43,"size=1069"
2026-06-07T20:46:20.9727485Z,AckReceived,43,""
2026-06-07T20:46:20.9727798Z,PacketSent,44,"size=1069"
2026-06-07T20:46:20.9728986Z,AckReceived,44,""
2026-06-07T20:46:20.9729393Z,PacketSent,45,"size=1069"
2026-06-07T20:46:20.9730636Z,AckReceived,45,""
2026-06-07T20:46:20.9731165Z,PacketSent,46,"size=1069"
2026-06-07T20:46:20.9732371Z,AckReceived,46,""
2026-06-07T20:46:20.9732803Z,PacketSent,47,"size=1069"
2026-06-07T20:46:20.9734065Z,AckReceived,47,""
2026-06-07T20:46:20.9734415Z,PacketSent,48,"size=1069"
2026-06-07T20:46:20.9735545Z,AckReceived,48,""
2026-06-07T20:46:20.9735915Z,PacketSent,49,"size=1069"
2026-06-07T20:46:20.9738257Z,AckReceived,49,""
2026-06-07T20:46:20.9738584Z,PacketSent,50,"size=1069"
2026-06-07T20:46:20.9739765Z,AckReceived,50,""
2026-06-07T20:46:20.9740151Z,PacketSent,51,"size=1069"
2026-06-07T20:46:20.9741601Z,AckReceived,51,""
2026-06-07T20:46:20.9742031Z,PacketSent,52,"size=1069"
2026-06-07T20:46:20.9743410Z,AckReceived,52,""
2026-06-07T20:46:20.9743802Z,PacketSent,53,"size=1069"
2026-06-07T20:46:20.9745306Z,AckReceived,53,""
2026-06-07T20:46:20.9745665Z,PacketSent,54,"size=1069"
2026-06-07T20:46:20.9747054Z,AckReceived,54,""
2026-06-07T20:46:20.9747392Z,PacketSent,55,"size=1069"
2026-06-07T20:46:20.9748538Z,AckReceived,55,""
2026-06-07T20:46:20.9748858Z,PacketSent,56,"size=1069"
2026-06-07T20:46:20.9749901Z,AckReceived,56,""
2026-06-07T20:46:20.9750168Z,PacketSent,57,"size=1069"
2026-06-07T20:46:20.9751286Z,AckReceived,57,""
